local_index,neutral_x,neutral_y,roi_x,roi_y,avg_visibility_ratio,avg_radial_inward_scalar
0,272.052734375,228.28921508789062,84.26513671875,15.355698585510254,1.0,-0.1921536773443222
1,299.47430419921875,243.2305145263672,156.17877197265625,44.03495788574219,1.0,-1.4051438570022583
2,261.03570556640625,255.0098114013672,55.372745513916016,66.6448745727539,1.0,1.2959753274917603
3,329.15606689453125,261.1889953613281,234.01983642578125,78.5055923461914,0.949999988079071,-0.42731931805610657
4,284.48370361328125,270.8019104003906,116.86561584472656,96.95721435546875,1.0,-0.25605931878089905
5,249.270751953125,282.808349609375,24.51890754699707,120.00312042236328,0.5403226017951965,3.8346340656280518
6,318.34881591796875,289.11981201171875,205.67758178710938,132.11773681640625,1.0,1.761772871017456
7,274.46771240234375,298.74090576171875,90.59847259521484,150.58506774902344,0.2887096703052521,1.037338376045227
8,247.92138671875,315.6965637207031,20.98016929626465,183.1308135986328,0.4693548381328583,1.9007058143615723
9,303.8951110839844,316.7242126464844,167.77244567871094,185.1033477783203,0.9741935729980469,0.6888064742088318
10,267.67462158203125,325.0353698730469,72.783447265625,201.05630493164062,0.6741935610771179,1.0305370092391968
11,295.9429931640625,345.138916015625,146.9178466796875,239.644287109375,1.0,-0.8576989769935608
